iter	RMSE
0	0.01649364566
1	0.01598922063
2	0.01546015545
3	0.01505671599
4	0.01469008208
5	0.01427719678
6	0.01388134979
7	0.01350084473
8	0.01313623108
9	0.01281599473
10	0.01248623406
11	0.01219228659
12	0.01190405067
13	0.01165006382
14	0.01141381517
15	0.01118376452
16	0.01098105964
17	0.01079497312
18	0.0106621201
19	0.01049938116
20	0.01031719299
21	0.01019518948
22	0.01005535887
23	0.009897099491
24	0.009763985776
25	0.009645776845
26	0.00953449254
27	0.009427348755
28	0.009322825527
29	0.009241966371
30	0.009147806438
31	0.009064291747
32	0.008968555275
33	0.008896907093
34	0.008827017611
35	0.008758025743
36	0.008686945481
37	0.008631907916
38	0.008570669657
39	0.008514375748
40	0.008459149522
41	0.00840250058
42	0.008340192013
43	0.008288719899
44	0.00824057397
45	0.008200245054
46	0.008168946175
47	0.008121186023
48	0.00810267215
49	0.008068745136
50	0.008032655824
51	0.007997828733
52	0.007972411287
53	0.007941305026
54	0.00790694674
55	0.007881908909
56	0.007851564919
57	0.007822775192
58	0.007796932194
59	0.007775897445
60	0.007757021024
61	0.007735426116
62	0.007721519796
63	0.007708907808
64	0.007691104106
65	0.007673455076
66	0.007657450773
67	0.007637811503
68	0.007618405401
69	0.007603178835
70	0.007590748046
71	0.007581300388
72	0.007568160638
73	0.00755731733
74	0.007548806579
75	0.007534154074
76	0.007518428512
77	0.007508979407
78	0.00749747401
79	0.007491651035
80	0.007481812964
81	0.007469030027
82	0.007456165082
83	0.007448683949
84	0.007439761015
85	0.007432649455
86	0.007424020946
87	0.007412385298
88	0.007405547702
89	0.007397387431
90	0.007391391794
91	0.007380459015
92	0.007371102276
93	0.007358939586
94	0.007353467594
95	0.007346919333
96	0.007338675152
97	0.007330393538
98	0.007320722132
99	0.00731694606
