,Feed Flow to DB,Reboiler o/l Temp,Column top Temp,Reboiling steam flow,Reflux flow,Column Top pressure,Column bottom temp,Control tay temp,C4H6 in DB bottom,C4H8 in DB bottom
Date /Time ,1145FIC1101,1150TI1107,1150TI1202,1150FIC1101,1150FIC1202,1150PIC1101,1150TI1105,1150TIC1101,1150AI14011F,1150AI14011G
,TPH,øC,øC,TPH,TPH,kg/cmýg,øC,øC,Wt%,Wt%
2023-04-16 07:00:00.000,75.03182871,33.76662933,107.0171592,20.18390007,91.37594975,3.999140145,106.5734168,75.86913575,0.079800829,0.034205664
2023-04-16 08:00:00.000,78.32652189,33.34269962,106.755899,20.35423497,91.1263696,4.012759508,106.5072703,74.4245013,0.079800829,0.034205664
2023-04-16 09:00:00.000,75.97903646,33.37422165,106.9206723,19.86548553,91.54444325,3.989796035,106.5561662,76.83364366,0.079800829,0.034205664
2023-04-16 10:00:00.000,76.15696443,34.14614068,106.7425926,20.02474262,91.08478161,4.008712922,106.3190307,75.06166448,0.079800829,0.034205664
2023-04-16 11:00:00.000,75.47471623,34.88522565,106.7709772,19.76204952,91.40847703,4.000243411,106.3419995,75.77964881,0.079800829,0.034205664
2023-04-16 12:00:00.000,80.61245429,35.52033847,106.7356039,20.35875214,91.23479775,4.031754718,106.3910973,75.11339705,0.079800829,0.034205664
2023-04-16 13:00:00.000,76.27937408,36.55625317,106.8340256,19.77241803,91.3697014,4.010148189,106.4577987,75.83525176,0.079800829,0.034205664
2023-04-16 14:00:00.000,77.49710098,38.50032547,106.9168282,19.8886986,91.26169873,4.013833322,106.5394714,75.42647942,0.079800829,0.034205664
2023-04-16 15:00:00.000,78.78538492,40.39702686,107.2000048,20.09179381,91.32237222,4.010309048,106.8851069,75.41328299,0.079800829,0.034205664
2023-04-16 16:00:00.000,79.53158819,41.31980179,107.3084341,20.35459952,91.22803846,4.010847631,107.1433632,74.99894218,0.079800829,0.034205664
2023-04-16 17:00:00.000,78.45731822,41.48669773,107.1651033,19.97308661,91.38960854,3.983768302,106.7743794,76.03719758,0.079800829,0.034205664
2023-04-16 18:00:00.000,78.29117162,41.43088902,107.0090516,20.22042898,91.24837201,3.994894622,106.5972327,75.27186796,0.079800829,0.034205664
2023-04-16 19:00:00.000,78.20728262,41.20089233,107.1641568,20.22203987,91.31584515,3.985607623,106.7262835,75.43181788,0.079800829,0.034205664
2023-04-16 20:00:00.000,77.1310551,40.61251262,107.2029387,20.05544767,91.34788654,3.987059769,106.7741311,75.89159792,0.079800829,0.034205664
2023-04-16 21:00:00.000,77.79421406,39.82944389,106.90909,20.14730665,91.23948958,3.990982784,106.4823023,75.14423726,0.079800829,0.034205664
2023-04-16 22:00:00.000,77.82770232,38.8717144,106.7007868,19.98746051,91.32439732,3.984329054,106.2993201,75.82086107,0.079800829,0.034205664
2023-04-16 23:00:00.000,77.1671006,37.95386143,106.5160991,20.02282211,91.29209055,3.995344266,106.0941636,75.45896712,0.079800829,0.034205664
2023-04-17 00:00:00.000,74.9381502,37.30930772,106.4314749,19.74965684,91.27970661,3.999723507,105.9655127,75.39040169,0.079800829,0.034205664
2023-04-17 01:00:00.000,77.01228085,36.73623762,106.3323114,20.15578567,91.32973997,3.997844544,105.9068987,75.5367467,0.079800829,0.034205664
2023-04-17 02:00:00.000,77.62800938,36.39071528,106.2331807,20.12287513,91.26334507,4.003232724,105.8238749,75.39127146,0.079800829,0.034205664
2023-04-17 03:00:00.000,79.84208778,36.10216536,106.1159625,20.34157206,91.30039149,4.008991389,105.7281916,75.31684196,0.079800829,0.034205664
2023-04-17 04:00:00.000,78.25760126,35.66739961,105.9542441,20.19560553,91.32780235,3.988106473,105.5689918,75.62617125,0.079800829,0.034205664
2023-04-17 05:00:00.000,79.24133368,35.17487305,105.5870528,20.43757615,91.30173355,3.993719901,105.1860359,75.45963437,0.079800829,0.034205664
2023-04-17 06:00:00.000,77.89001467,34.64686093,105.7514512,20.27226727,91.26862162,3.999162138,105.3463142,75.44356489,0.079800829,0.034205664
2023-04-17 07:00:00.000,70.02464852,34.26351459,106.2435274,19.69461993,91.56684607,3.995281861,105.7054337,76.93744651,0.079800829,0.034205664
2023-04-17 08:00:00.000,56.83301335,34.05813029,106.2814596,18.82983941,91.15830095,4.003489964,105.528235,74.79728096,0.079800829,0.034205664
2023-04-17 09:00:00.000,74.98413903,34.00434839,105.8689621,20.41432313,91.09899794,4.02087446,105.4034163,74.76344207,0.079800829,0.034205664
2023-04-17 10:00:00.000,74.57099772,34.91173299,106.0598666,19.92400314,91.3984628,4.015045244,105.6011416,75.85436511,0.079800829,0.034205664
2023-04-17 11:00:00.000,78.4742309,35.69213868,106.2884664,20.3358081,91.28443152,4.010434022,105.9040896,75.18599868,0.079800829,0.034205664
2023-04-17 12:00:00.000,79.09808273,36.26884763,107.0543883,20.05702163,91.32001905,4.010914823,106.6635677,75.76304512,0.079800829,0.034205664
2023-04-17 13:00:00.000,78.92059234,37.23217692,107.6471561,20.43914675,91.29083543,4.014706271,107.2354154,75.3908913,0.079800829,0.034205664
2023-04-17 14:00:00.000,81.8415778,39.37747837,107.7733794,20.76319348,91.22273245,4.022357993,107.3979138,75.17782119,0.079800829,0.034205664
2023-04-17 15:00:00.000,83.45774004,41.45951377,107.9867237,20.88427393,91.32747884,4.022904919,107.6206766,75.13457488,0.079800829,0.034205664
2023-04-17 16:00:00.000,79.51391119,42.25144451,107.9782003,20.29605116,91.39679086,4.000174183,107.5703773,76.03236229,0.079800829,0.034205664
2023-04-17 17:00:00.000,83.78895975,42.21102285,107.4082774,20.71913604,91.2066125,4.012158572,107.0757683,75.42308217,0.079800829,0.034205664
2023-04-17 18:00:00.000,80.46218998,42.08695566,107.1249412,20.31150378,91.32933774,3.992760481,106.7643371,75.70288782,0.079800829,0.034205664
2023-04-17 19:00:00.000,82.85652023,41.80158043,106.9230733,20.35941057,91.29770488,3.98858388,106.6191066,75.45024695,0.079800829,0.034205664
2023-04-17 20:00:00.000,82.33455385,41.28955645,106.7722654,20.30795932,91.30726391,3.979274027,106.4574851,75.47619019,0.079800829,0.034205664
2023-04-17 21:00:00.000,79.21683252,40.72385636,106.84802,20.00360991,91.33789964,3.978953577,106.4969938,75.71114516,0.079800829,0.034205664
2023-04-17 22:00:00.000,83.01880112,40.20325169,106.7494824,20.63459058,91.22771503,3.997744677,106.4304991,75.07708154,0.079800829,0.034205664
2023-04-17 23:00:00.000,81.03816781,39.63046639,106.7132344,20.14005615,91.35087006,3.983454131,106.4066778,76.00248606,0.079800829,0.034205664
2023-04-18 00:00:00.000,78.96327901,38.99770309,106.5178519,19.97032235,91.26159841,3.989868022,106.1665019,75.34067575,0.079800829,0.034205664
2023-04-18 01:00:00.000,81.19814507,38.35578003,106.5370523,20.19283981,91.28582093,4.004657802,106.2073434,75.57823756,0.079800829,0.034205664
2023-04-18 02:00:00.000,78.79713067,37.83318185,106.4107619,20.01869994,91.30890048,3.992199348,106.0686341,75.53376778,0.079800829,0.034205664
2023-04-18 03:00:00.000,79.45975553,37.27441874,106.0663639,20.06414647,91.32091955,3.986968552,105.704092,75.55066895,0.079800829,0.034205664
