Model,R2,MAE,RMSE,Pct_within_0.1,Spec_Recall
Model A (C4H8) XGBoost Defaults,-1.0287111790127912,0.3016963512365964,0.39277561360465285,23.59809241901003,19.01244167962675
Model B (C4H6) XGBoost Defaults,-34.632273556336834,0.05499955149429848,0.059819537295363136,97.54539340954943,0.0
Combined Total_C4 XGBoost Defaults,-1.0520261567156735,0.3621469739741688,0.4561382979681972,21.79706183805945,0.8365508365508365
Combined Total_C4 Naive Lag-1,0.9217039930755698,0.04868679016469928,0.08909942439642445,86.40245985650837,95.75289575289575
