Model,R2_All,MAE_All,RMSE_All,Pct_within_0.1_All,Spec_Recall_All,R2_Normal,MAE_Normal,R2_Extreme,MAE_Extreme,Analyzer_Required
LinearRegression (Tier 1),-3.728178639739663,0.5035169971873956,0.5996272249098297,6.808090774543661,21.578538102643858,-3.80401180963627,0.49470316968459055,-3.5069141899710274,0.6283612371273757,No
Ridge (Tier 1),-3.932012176054946,0.5081992978776653,0.6124159239544601,7.580989968755139,21.15085536547434,-4.032064648903431,0.5011725651213534,-3.522410433178406,0.6077300760718104,No
RandomForest (Tier 1),-0.9917097477939165,0.29867596513785705,0.3891772357477618,23.351422463410625,19.712286158631414,-1.0035013068846874,0.2926566768509324,-1.070495896549704,0.38393670695763793,No
XGBoost (Tier 1),-1.0287111790127912,0.3016963512365964,0.39277561360465285,23.59809241901003,19.01244167962675,-1.0256716109480388,0.29398552696288877,-1.2374066860755253,0.4109170042906091,No
Naive Lag-1 Baseline,0.9328275448454596,0.036102412979922886,0.071471025830647,91.5967768459135,95.95645412130638,,,,,Yes
