Model,R2_All,MAE_All,RMSE_All,Pct_within_0.1_All,Spec_Recall_All,R2_Normal,MAE_Normal,R2_Extreme,MAE_Extreme,Analyzer_Required
LinearRegression (Tier 1),-4.507258225847585,0.49529393745956585,0.6451358773263818,17.282931660614064,8.944684189878384,-4.371542848930923,0.4740616798166204,-6.163285450847164,0.7948223202180269,No
Ridge (Tier 1),-4.443520570593807,0.4894620346585947,0.6413918078822569,19.544404093760317,7.728520988622989,-4.404940036858974,0.4718408317599973,-5.2742128889418805,0.7380484306620007,No
RandomForest (Tier 1),-1.0026532562230948,0.3003320076805905,0.3890329218497449,21.52525586001981,18.242448018830913,-1.0253698146439487,0.2952587405720546,-0.9968916179350751,0.3719017633738258,No
XGBoost (Tier 1),-1.067376443285235,0.29557574035023704,0.3952694560962206,26.890062726972598,14.240878775990584,-1.0910014104208994,0.28966760760540095,-1.0599587374665216,0.37892313919696397,No
Naive Lag-1 Baseline,0.932473831527667,0.0359877295649546,0.07143639473950819,91.63090128755364,95.91996861514319,,,,,Yes
