Limit,Train Coverage (%),Test Coverage (%)
6h,90.61917581279768,93.81332514583973
12h,91.11617312072893,94.08965305495856
24h,91.96521018844481,94.64230887319619
48h,92.9592048043073,95.44058949953946
72h,93.95319942016981,96.07000307031011
