Model,R2,MAE,RMSE,Pct_within_0.1,Spec_Recall
Model A (C4H8) XGBoost Defaults,-1.067376443285235,0.29557574035023704,0.3952694560962206,26.890062726972598,14.240878775990584
Model B (C4H6) XGBoost Defaults,-72.57698950584982,0.07712915095908836,0.08611683671283349,74.0128248396895,0.0
Combined Total_C4 XGBoost Defaults,-1.0441862965701794,0.36619615024247104,0.45526611546273654,18.209771096686026,1.0296010296010296
Combined Total_C4 Naive Lag-1,0.921699440211946,0.048677445064370314,0.08910356319871698,86.39781271360218,95.75016097875081
